"","Year","CU_ID","Species","Stock","Label","Metric","Compare","LBM","UBM","Value","Status"
"1",2010,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelUBM",54.26908361,NA,NA,NA,NA
"2",2011,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelUBM",49.97446301,NA,NA,NA,NA
"3",2012,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelUBM",53.14942617,NA,NA,NA,NA
"4",2013,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelUBM",67.26688339,NA,NA,NA,NA
"5",2014,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelUBM",62.15358148,NA,NA,NA,NA
"6",2015,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelUBM",89.94395203,NA,NA,NA,NA
"7",2016,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelUBM",110.2645976,NA,NA,NA,NA
"8",2017,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelUBM",124.4089587,NA,NA,NA,NA
"9",2018,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelUBM",93.37702513,NA,NA,NA,NA
"10",2010,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsUBM",54.26908361,1000,10000,0.005426908,"Red"
"11",2011,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsUBM",49.97446301,1000,10000,0.004997446,"Red"
"12",2012,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsUBM",53.14942617,1000,10000,0.005314943,"Red"
"13",2013,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsUBM",67.26688339,1000,10000,0.006726688,"Red"
"14",2014,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsUBM",62.15358148,1000,10000,0.006215358,"Red"
"15",2015,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsUBM",89.94395203,1000,10000,0.008994395,"Red"
"16",2016,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsUBM",110.2645976,1000,10000,0.01102646,"Red"
"17",2017,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsUBM",124.4089587,1000,10000,0.012440896,"Red"
"18",2018,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsUBM",93.37702513,1000,10000,0.009337703,"Red"
"19",2010,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelLBM",54.26908361,NA,NA,NA,NA
"20",2011,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelLBM",49.97446301,NA,NA,NA,NA
"21",2012,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelLBM",53.14942617,NA,NA,NA,NA
"22",2013,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelLBM",67.26688339,NA,NA,NA,NA
"23",2014,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelLBM",62.15358148,NA,NA,NA,NA
"24",2015,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelLBM",89.94395203,NA,NA,NA,NA
"25",2016,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelLBM",110.2645976,NA,NA,NA,NA
"26",2017,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelLBM",124.4089587,NA,NA,NA,NA
"27",2018,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","RelLBM",93.37702513,NA,NA,NA,NA
"28",2010,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsLBM",54.26908361,1000,10000,0.054269084,"Red"
"29",2011,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsLBM",49.97446301,1000,10000,0.049974463,"Red"
"30",2012,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsLBM",53.14942617,1000,10000,0.053149426,"Red"
"31",2013,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsLBM",67.26688339,1000,10000,0.067266883,"Red"
"32",2014,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsLBM",62.15358148,1000,10000,0.062153581,"Red"
"33",2015,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsLBM",89.94395203,1000,10000,0.089943952,"Red"
"34",2016,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsLBM",110.2645976,1000,10000,0.110264598,"Red"
"35",2017,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsLBM",124.4089587,1000,10000,0.124408959,"Red"
"36",2018,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild","AbsLBM",93.37702513,1000,10000,0.093377025,"Red"
"37",2010,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","LongTrend",2.65,0.5,0.75,2.65,"Green"
"38",2011,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","LongTrend",2.39,0.5,0.75,2.39,"Green"
"39",2012,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","LongTrend",2.43,0.5,0.75,2.43,"Green"
"40",2013,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","LongTrend",2.82,0.5,0.75,2.82,"Green"
"41",2014,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","LongTrend",2.49,0.5,0.75,2.49,"Green"
"42",2015,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","LongTrend",3.39,0.5,0.75,3.39,"Green"
"43",2016,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","LongTrend",3.98,0.5,0.75,3.98,"Green"
"44",2017,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","LongTrend",4.28,0.5,0.75,4.28,"Green"
"45",2018,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","LongTrend",3.15,0.5,0.75,3.15,"Green"
"46",2010,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","PercChange",378.6258,-25,-15,378.6258,"Green"
"47",2011,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","PercChange",532.9095,-25,-15,532.9095,"Green"
"48",2012,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","PercChange",653.2933,-25,-15,653.2933,"Green"
"49",2013,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","PercChange",782.2833,-25,-15,782.2833,"Green"
"50",2014,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","PercChange",740.1744,-25,-15,740.1744,"Green"
"51",2015,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","PercChange",739.4373,-25,-15,739.4373,"Green"
"52",2016,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","PercChange",661.326,-25,-15,661.326,"Green"
"53",2017,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","PercChange",560.5852,-25,-15,560.5852,"Green"
"54",2018,"CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForTrend_Wild","PercChange",397.2203,-25,-15,397.2203,"Green"
"55",2010,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","RelUBM",NA,NA,NA,NA,NA
"56",2011,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","RelUBM",NA,NA,NA,NA,NA
"57",2012,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","RelUBM",NA,NA,NA,NA,NA
"58",2013,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","RelUBM",NA,NA,NA,NA,NA
"59",2014,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","RelUBM",NA,NA,NA,NA,NA
"60",2015,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","RelUBM",NA,NA,NA,NA,NA
"61",2016,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","RelUBM",NA,NA,NA,NA,NA
"62",2017,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","RelUBM",NA,NA,NA,NA,NA
"63",2018,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","RelUBM",NA,NA,NA,NA,NA
"64",2010,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","AbsUBM",NA,NA,NA,NA,NA
"65",2011,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","AbsUBM",NA,NA,NA,NA,NA
"66",2012,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","AbsUBM",NA,NA,NA,NA,NA
"67",2013,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","AbsUBM",NA,NA,NA,NA,NA
"68",2014,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","AbsUBM",NA,NA,NA,NA,NA
"69",2015,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","AbsUBM",NA,NA,NA,NA,NA
"70",2016,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","AbsUBM",NA,NA,NA,NA,NA
"71",2017,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","AbsUBM",NA,NA,NA,NA,NA
"72",2018,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","AbsUBM",NA,NA,NA,NA,NA
"73",2010,"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild","RelLBM",NA,NA,NA,NA,NA
