"CU_ID","Species","Stock","Year","DataType","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","RelAbd","AbsAbd","NumStdMetrics","GenAvgUsed"
"CU-1","Sockeye","Bowron_ES",1995,"Abs_Abd","Red","Amber","Amber","Red",NA,"Red","Red","Amber","Red","Amber",6,4373.48009874312
"CU-1","Sockeye","Bowron_ES",1996,"Abs_Abd","Amber","Amber","Amber","Red",NA,"Red","Amber","Amber","Amber","Amber",6,5841.31751507642
"CU-1","Sockeye","Bowron_ES",1997,"Abs_Abd","Amber","Amber","Green","Red",NA,"Amber","Amber","Amber","Amber","Amber",6,8269.22695325682
"CU-1","Sockeye","Bowron_ES",1998,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,8439.03215195701
"CU-1","Sockeye","Bowron_ES",1999,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,6240.04006780855
"CU-1","Sockeye","Bowron_ES",2000,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,6942.25744538754
"CU-1","Sockeye","Bowron_ES",2001,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,7201.05913673889
"CU-1","Sockeye","Bowron_ES",2002,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,8311.65178675943
"CU-1","Sockeye","Bowron_ES",2003,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,7702.83560524898
"CU-1","Sockeye","Bowron_ES",2004,"Abs_Abd","Red","Amber","Green","Green",NA,"Green","Red","Amber","Red","Amber",6,4009.29036766521
"CU-1","Sockeye","Bowron_ES",2005,"Abs_Abd","Red","Amber","Green","Green",NA,"Amber","Red","Amber","Red","Amber",6,3001.86633549093
"CU-1","Sockeye","Bowron_ES",2006,"Abs_Abd","Red","Amber","Amber","Red",NA,"Red","Red","Amber","Red","Amber",6,1927.0922289153
"CU-1","Sockeye","Bowron_ES",2007,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1483.19804933128
"CU-1","Sockeye","Bowron_ES",2008,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1421.7359616771
"CU-1","Sockeye","Bowron_ES",2009,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1412.86008084696
"CU-1","Sockeye","Bowron_ES",2010,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,2184.79769142453
"CU-1","Sockeye","Bowron_ES",2011,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,2555.45839298013
"CU-1","Sockeye","Bowron_ES",2012,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1343.03752054602
"CU-1","Sockeye","Bowron_ES",2013,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1579.17981461111
"CU-1","Sockeye","Bowron_ES",2014,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1716.02704101389
"CU-1","Sockeye","Bowron_ES",2015,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1655.61213175876
"CU-1","Sockeye","Bowron_ES",2016,"Abs_Abd","Red","Amber","Red","Green",NA,"Red","Red","Amber","Red","Amber",6,2065.75877649436
"CU-1","Sockeye","Bowron_ES",2017,"Abs_Abd","Red","Amber","Red","Green",NA,"Red","Red","Amber","Red","Amber",6,1083.40763793375
"CU-1","Sockeye","Bowron_ES",2018,"Abs_Abd","Red","Amber","Red","Green",NA,"Red","Red","Amber","Red","Amber",6,1000.39273414402
"CU-1","Sockeye","Bowron_ES",2019,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",6,275.880235064546
"CU-1","Sockeye","Bowron_ES",2020,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",6,343.57866560535
"CU-1","Sockeye","Bowron_ES",2021,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",6,646.832503531879
"CU-1","Sockeye","Bowron_ES",2022,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",6,506.78867208349
"CU-1","Sockeye","Bowron_ES",2023,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"CU-10","Sockeye","Seton_L",1995,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,7697.94665187166
"CU-10","Sockeye","Seton_L",1996,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,7879.21531236501
"CU-10","Sockeye","Seton_L",1997,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,6436.4531304223
"CU-10","Sockeye","Seton_L",1998,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,8115.90966250355
"CU-10","Sockeye","Seton_L",1999,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,7049.89734026339
"CU-10","Sockeye","Seton_L",2000,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,5601.45198127231
"CU-10","Sockeye","Seton_L",2001,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,4224.01917081837
"CU-10","Sockeye","Seton_L",2002,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,3796.53489996227
"CU-10","Sockeye","Seton_L",2003,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,3931.9232894951
"CU-10","Sockeye","Seton_L",2004,"Abs_Abd","Amber","Amber","Green","Red",NA,"Amber","Amber","Amber","Amber","Amber",6,4015.66053846388
"CU-10","Sockeye","Seton_L",2005,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,5753.58705445999
"CU-10","Sockeye","Seton_L",2006,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,6011.40482993436
"CU-10","Sockeye","Seton_L",2007,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,4642.8097277266
"CU-10","Sockeye","Seton_L",2008,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,2333.175663437
"CU-10","Sockeye","Seton_L",2009,"Abs_Abd","Red","Amber","Green","Red",NA,"Amber","Red","Amber","Red","Amber",6,1397.73322399275
"CU-10","Sockeye","Seton_L",2010,"Abs_Abd","Red","Amber","Amber","Red",NA,"Red","Red","Amber","Red","Amber",6,1790.53850308321
"CU-10","Sockeye","Seton_L",2011,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1518.7792356057
"CU-10","Sockeye","Seton_L",2012,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1128.28409029908
"CU-10","Sockeye","Seton_L",2013,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1643.46680476815
"CU-10","Sockeye","Seton_L",2014,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1347.72700751431
"CU-10","Sockeye","Seton_L",2015,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",6,599.422027593972
"CU-10","Sockeye","Seton_L",2016,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",6,678.334116716389
"CU-10","Sockeye","Seton_L",2017,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",6,421.124604999067
"CU-10","Sockeye","Seton_L",2018,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",6,476.784026725488
"CU-10","Sockeye","Seton_L",2019,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",6,940.009915823947
"CU-10","Sockeye","Seton_L",2020,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",6,785.586423872608
"CU-10","Sockeye","Seton_L",2021,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,1013.85007741005
"CU-10","Sockeye","Seton_L",2022,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",6,858.097856147303
"CU-10","Sockeye","Seton_L",2023,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"CU-11","Sockeye","Harrison_US_L",1995,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",6,49099.8582854971
"CU-11","Sockeye","Harrison_US_L",1996,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",6,47166.1023165388
"CU-11","Sockeye","Harrison_US_L",1997,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",6,33883.3393108479
"CU-11","Sockeye","Harrison_US_L",1998,"Abs_Abd","Amber","Green","Green","Amber",NA,"Amber","Amber","Green","Amber","Green",6,32330.8292856285
"CU-11","Sockeye","Harrison_US_L",1999,"Abs_Abd","Amber","Green","Green","Green",NA,"Amber","Amber","Green","Amber","Green",6,32994.0698629902
"CU-11","Sockeye","Harrison_US_L",2000,"Abs_Abd","Amber","Green","Green","Amber",NA,"Amber","Amber","Green","Amber","Green",6,18957.5212655932
"CU-11","Sockeye","Harrison_US_L",2001,"Abs_Abd","Amber","Green","Amber","Red",NA,"Red","Amber","Green","Amber","Green",6,16858.0768306666
"CU-11","Sockeye","Harrison_US_L",2002,"Abs_Abd","Amber","Green","Amber","Red",NA,"Red","Amber","Green","Amber","Green",6,18388.7640112543
"CU-11","Sockeye","Harrison_US_L",2003,"Abs_Abd","Amber","Green","Amber","Red",NA,"Red","Amber","Green","Amber","Green",6,21568.0720576237
"CU-11","Sockeye","Harrison_US_L",2004,"Abs_Abd","Amber","Green","Amber","Red",NA,"Red","Amber","Green","Amber","Green",6,31956.4942012046
"CU-11","Sockeye","Harrison_US_L",2005,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",6,42831.1068568369
"CU-11","Sockeye","Harrison_US_L",2006,"Abs_Abd","Amber","Green","Green","Amber",NA,"Amber","Amber","Green","Amber","Green",6,32261.758556695
"CU-11","Sockeye","Harrison_US_L",2007,"Abs_Abd","Amber","Green","Green","Green",NA,"Amber","Amber","Green","Amber","Green",6,29495.6041225757
"CU-11","Sockeye","Harrison_US_L",2008,"Abs_Abd","Amber","Green","Green","Green",NA,"Amber","Amber","Green","Amber","Green",6,13777.6971667196
"CU-11","Sockeye","Harrison_US_L",2009,"Abs_Abd","Amber","Green","Amber","Red",NA,"Red","Amber","Green","Amber","Green",6,12206.4983586831
"CU-11","Sockeye","Harrison_US_L",2010,"Abs_Abd","Amber","Green","Red","Red",NA,"Red","Amber","Green","Amber","Green",6,14361.6049962715
"CU-11","Sockeye","Harrison_US_L",2011,"Abs_Abd","Amber","Green","Red","Red",NA,"Red","Amber","Green","Amber","Green",6,16374.679800788
"CU-11","Sockeye","Harrison_US_L",2012,"Abs_Abd","Amber","Green","Red","Red",NA,"Red","Amber","Green","Amber","Green",6,14527.354256879
"CU-11","Sockeye","Harrison_US_L",2013,"Abs_Abd","Amber","Green","Red","Red",NA,"Red","Amber","Green","Amber","Green",6,15017.452153582
"CU-11","Sockeye","Harrison_US_L",2014,"Abs_Abd","Amber","Green","Red","Red",NA,"Red","Amber","Green","Amber","Green",6,12323.6428763516
"CU-11","Sockeye","Harrison_US_L",2015,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,5428.38145003363
"CU-11","Sockeye","Harrison_US_L",2016,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,4061.59976337406
"CU-11","Sockeye","Harrison_US_L",2017,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,4031.72247186863
"CU-11","Sockeye","Harrison_US_L",2018,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,3691.3658733946
"CU-11","Sockeye","Harrison_US_L",2019,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,3604.05032253513
"CU-11","Sockeye","Harrison_US_L",2020,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,2635.16987787225
"CU-11","Sockeye","Harrison_US_L",2021,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,3312.34067010685
"CU-11","Sockeye","Harrison_US_L",2022,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,4471.12071721087
"CU-11","Sockeye","Harrison_US_L",2023,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"CU-12","Sockeye","Lillooet_Harr_L",1995,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",6,89628.0027364164
"CU-12","Sockeye","Lillooet_Harr_L",1996,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",6,65212.9112895557
"CU-12","Sockeye","Lillooet_Harr_L",1997,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",6,43321.4919859545
"CU-12","Sockeye","Lillooet_Harr_L",1998,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",6,70974.941798955
"CU-12","Sockeye","Lillooet_Harr_L",1999,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",6,75725.0538637853
"CU-12","Sockeye","Lillooet_Harr_L",2000,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",6,53582.3980953402
"CU-12","Sockeye","Lillooet_Harr_L",2001,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",6,52370.0212516982
"CU-12","Sockeye","Lillooet_Harr_L",2002,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",6,51932.4052491237
"CU-12","Sockeye","Lillooet_Harr_L",2003,"Abs_Abd","Green","Green","Green","Red",NA,"Green","Green","Green","Green","Green",6,82772.899721721
"CU-12","Sockeye","Lillooet_Harr_L",2004,"Abs_Abd","Green","Green","Green","Red",NA,"Green","Green","Green","Green","Green",6,107905.627034011
"CU-12","Sockeye","Lillooet_Harr_L",2005,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",6,113623.939923124
"CU-12","Sockeye","Lillooet_Harr_L",2006,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",6,112641.635589315
"CU-12","Sockeye","Lillooet_Harr_L",2007,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",6,82707.9842244327
"CU-12","Sockeye","Lillooet_Harr_L",2008,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",6,63460.5907982253
"CU-12","Sockeye","Lillooet_Harr_L",2009,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",6,63619.7834041711
"CU-12","Sockeye","Lillooet_Harr_L",2010,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",6,52906.9199229387
"CU-12","Sockeye","Lillooet_Harr_L",2011,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",6,62112.455909093
"CU-12","Sockeye","Lillooet_Harr_L",2012,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",6,51614.4377514323
"CU-12","Sockeye","Lillooet_Harr_L",2013,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",6,56466.5410402053
"CU-12","Sockeye","Lillooet_Harr_L",2014,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",6,40484.6232745163
"CU-12","Sockeye","Lillooet_Harr_L",2015,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",6,28901.7908401607
"CU-12","Sockeye","Lillooet_Harr_L",2016,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",6,42020.7401160071
"CU-12","Sockeye","Lillooet_Harr_L",2017,"Abs_Abd","Amber","Green","Amber","Red",NA,"Amber","Amber","Green","Amber","Green",6,29062.1558477295
"CU-12","Sockeye","Lillooet_Harr_L",2018,"Abs_Abd","Amber","Green","Amber","Red",NA,"Red","Amber","Green","Amber","Green",6,23330.8743980051
"CU-12","Sockeye","Lillooet_Harr_L",2019,"Abs_Abd","Red","Green","Red","Red",NA,"Red","Red","Green","Red","Green",6,11898.0741810402
"CU-12","Sockeye","Lillooet_Harr_L",2020,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,7013.62147636081
"CU-12","Sockeye","Lillooet_Harr_L",2021,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",6,8861.24933390774
"CU-12","Sockeye","Lillooet_Harr_L",2022,"Abs_Abd","Amber","Green","Red","Red",NA,"Red","Amber","Green","Amber","Green",6,15140.8882387836
"CU-12","Sockeye","Lillooet_Harr_L",2023,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"CU-13","Sockeye","Harrison_DS_L",1995,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,1330.66416122568
"CU-13","Sockeye","Harrison_DS_L",1996,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,1337.15450157858
"CU-13","Sockeye","Harrison_DS_L",1997,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,1436.94283676158
"CU-13","Sockeye","Harrison_DS_L",1998,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,2486.41955687252
"CU-13","Sockeye","Harrison_DS_L",1999,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,2110.15277624955
"CU-13","Sockeye","Harrison_DS_L",2000,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,2638.31765008292
