"CU_ID","Species","Stock","Year","DataType","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","RelAbd","AbsAbd","NumStdMetrics"
"CU-19","Sockeye","Anderson_Seton_ES",1995,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",1996,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",1997,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",1998,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",1999,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2000,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2001,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2002,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2003,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2004,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2005,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2006,"Abs_Abd","Amber","Amber","Green","Amber",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2007,"Abs_Abd","Amber","Amber","Green","Amber",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2008,"Abs_Abd","Amber","Amber","Green","Amber",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2009,"Abs_Abd","Red","Amber","Green","Red",NA,"Green","Red","Amber","Red","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2010,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2011,"Abs_Abd","Amber","Green","Green","Amber",NA,"Green","Amber","Green","Amber","Green",4
"CU-19","Sockeye","Anderson_Seton_ES",2012,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
